"","region","gene_symbol","expression","in_16p_region"
"1","ctx-lh-bankssts","ALDOA",0.478570844829665,"Yes"
"2","ctx-lh-bankssts","CHRNB1",0.472117048702472,"No"
"3","ctx-lh-bankssts","COL6A2",0.466812908653214,"No"
"4","ctx-lh-bankssts","CYP1B1",0.607069649109176,"No"
"5","ctx-lh-bankssts","DPP6",0.536765744376945,"No"
"6","ctx-lh-bankssts","EDN3",0.45938170037782,"No"
"7","ctx-lh-bankssts","GABRE",0.574074269070694,"No"
"8","ctx-lh-bankssts","GRM7",0.559490501481327,"No"
"9","ctx-lh-bankssts","GTF2I",0.43307413251451,"No"
"10","ctx-lh-bankssts","HLA-C",0.380520233186482,"No"
"11","ctx-lh-bankssts","KIF22",0.548512839574531,"Yes"
"12","ctx-lh-bankssts","LGALS1",0.540835327858705,"No"
"13","ctx-lh-bankssts","MAPT",0.6118811414381,"No"
"14","ctx-lh-bankssts","MAZ",0.417702349876952,"Yes"
"15","ctx-lh-bankssts","TONSL",0.341429997844661,"No"
"16","ctx-lh-bankssts","OAS3",0.414492960536416,"No"
"17","ctx-lh-bankssts","PPP4C",0.314506567884876,"Yes"
"18","ctx-lh-bankssts","MAPK3",0.448233643913548,"Yes"
"19","ctx-lh-bankssts","PRNP",0.57528345230453,"No"
"20","ctx-lh-bankssts","RAF1",0.476839236631409,"No"
"21","ctx-lh-bankssts","RGS3",0.345886378750189,"No"
"22","ctx-lh-bankssts","ZNF229",0.493238125422713,"No"
"23","ctx-lh-bankssts","RBM10",0.490966412088599,"No"
"24","ctx-lh-bankssts","DOC2A",0.617962297424939,"Yes"
"25","ctx-lh-bankssts","HIRIP3",0.562762860856369,"Yes"
"26","ctx-lh-bankssts","JRK",0.406255154488562,"No"
"27","ctx-lh-bankssts","CPNE1",0.525061584340426,"No"
"28","ctx-lh-bankssts","SEMA5A",0.339150890216707,"No"
"29","ctx-lh-bankssts","TAOK2",0.380022126393606,"Yes"
"30","ctx-lh-bankssts","GDF15",0.478840180928793,"No"
"31","ctx-lh-bankssts","PLEKHM1",0.537913627146627,"No"
"32","ctx-lh-bankssts","HS3ST4",0.4723018092997,"No"
