gene_symbol,correlation,p_value,in_16p_locus
AARS2,0.3732415360233476,0.029689833770937604,No
ALDOA,-0.09878660663579907,0.5783223537529251,Yes
ANTXR2,0.11276562703282933,0.5254500562271032,No
ASPHD1,-0.2500759131958134,0.1537476751963977,Yes
BCRP2,0.009537700922315779,0.9573058006916537,No
C17orf97,0.1757093516631873,0.3202271860949198,No
CALML6,0.05750614334156149,0.746664357057221,No
CCDC152,0.23061869336528495,0.18945320470090732,No
CCDC91,0.15669714569271967,0.3761553500287137,No
CDIPT,-0.28442817744518967,0.10303274195275959,Yes
CHRNB1,-0.1877101901234536,0.2877481158777512,No
COL6A2,0.14027686332230838,0.4287823471857276,No
CORO1A,0.03466232906810634,0.8456961469264563,Yes
CPNE1,-0.05724486669867657,0.7477779916880163,No
CYP1B1,0.032596052828272014,0.8547939669570611,No
DDX60L,0.23120980266426933,0.18828953681080363,No
DOC2A,-0.06278856898535085,0.7242600021987005,Yes
DPP6,-0.12430745577397632,0.4836506059614475,No
DPY19L3,0.17840782425704152,0.31273264108757476,No
EDN3,-0.1691942073220095,0.3387782080785867,No
FAHD1,0.13123494168486532,0.45941491050322947,No
FAM122B,0.17745417454279977,0.3153685679730272,No
FAM57B,0.1013144636556985,0.5685873961197222,Yes
FBLN7,-0.06881236538238478,0.6989839719470599,No
GABRE,-0.002042230564992979,0.9908542696663356,No
GDF15,0.32312478941377437,0.06232094199231424,No
GDPD3,0.07835795072192857,0.6595824374180367,Yes
GPATCH3,-0.19478752326734575,0.269624069700675,No
GPC6,-0.12129598207264888,0.4943883119445365,No
GRM7,0.14997098802070155,0.39723627263365147,No
GTF2I,0.3186401170143593,0.06625659849925533,No
HERC2P2,0.11766638008921343,0.5074894481666515,No
HIRIP3,-0.10225396369028117,0.5649884315455913,Yes
HLA-C,0.22876071138898416,0.193143693379444,No
HOXB-AS3,0.2410114824965472,0.16972105789046682,No
HS3ST4,0.2963420030385684,0.08879511137048188,No
INO80E,0.2873273613628231,0.09941873093084717,Yes
JRK,0.16324967228540693,0.35626505837347433,No
KANSL1-AS1,-0.050660238316047414,0.7760035112040092,No
KCTD13,0.3175643983076206,0.06722900588502038,Yes
KHDRBS2,0.23766538939745135,0.17590671841675615,No
KIF22,0.17838753234431856,0.31278858446761365,Yes
KIF4B,0.0016901749321542334,0.9924308322626707,No
LGALS1,-0.42383583063582403,0.012491953938055345,No
LOC100133091,0.1394666492116162,0.43148015085895064,No
LOC100505915,0.41766549373896755,0.01397894680959843,No
LRRC45,0.2562690164868999,0.1434788940770297,No
MAMDC4,-0.035769587233865294,0.8408288597879073,No
MAPK3,-0.028168051955374192,0.8743510446849532,Yes
MAPT,0.03612109503294261,0.8392849032611257,No
MAZ,0.2067128932809192,0.24080786981807664,Yes
MIR497HG,-0.101115262097131,0.5693518206041055,No
MVP,-0.14316383393148988,0.41924579399524975,Yes
OAS3,0.13210930285208725,0.45640274554389504,No
PAGR1,0.23438606590060032,0.1821226271438601,No
PEG3-AS1,0.005652852507636697,0.9746883214961687,No
PILRA,0.16336018895662868,0.35593509772488563,No
PLEKHM1,0.009910087167300368,0.9556404709501716,No
PLVAP,0.27803526406621176,0.11135237383284827,No
PNPO,0.029843952410967534,0.8669398844070393,No
PPP4C,0.03616344530944419,0.8390989243004398,Yes
PPP6R3,0.23364431869944505,0.18354983992757776,No
PRNP,0.10628432106845331,0.5496688414253892,No
PRRT2,-0.013310600629684314,0.9404426012282767,Yes
QPRT,-0.2802889870382382,0.10836372330203714,Yes
RAF1,-0.00489996543035534,0.9780586392248711,No
RBM10,0.15198657076424574,0.3908490735529059,No
RFPL3,-0.2036972784462077,0.24789124530391113,No
RGS3,-0.007688039008184996,0.9655800749120234,No
SEMA5A,0.04936905235209858,0.7815727344702583,No
SEZ6L2,-0.08654948395427967,0.6264679549484375,Yes
TAOK2,0.20544079583113042,0.24377915956183988,Yes
TAS2R31,0.17072692233929193,0.33435606169260923,No
TBC1D9B,-0.19822804047781817,0.26108903518676846,No
TEKT4,-0.23209166896046732,0.18656282667337729,No
TMBIM4,0.06163300649480604,0.7291426406794018,No
TMEM219,-0.15539780042381895,0.3801755926392376,Yes
TMEM8A,-0.10982465984775225,0.536374876954463,No
TMEM9,-0.06388549910137327,0.7196349632796013,No
TONSL,6.102602066483287e-4,0.9972670170666855,No
TRAK2,-0.054697125057585505,0.7586631499694549,No
UNC13B,0.3031293793986585,0.08138834544694937,No
WWOX,0.20755234751849325,0.23886048020144343,No
YPEL3,-0.008084901275799125,0.9638044255289215,Yes
ZDHHC6,-0.009689833764799477,0.9566254332477311,No
ZNF229,-0.03810698375234522,0.8305733410567187,No
ZNF835,-0.043401807057708505,0.8074457346503641,No
