gene_symbol,correlation,p_value,in_16p_locus
AARS2,0.360427807486631,0.03693405630537179,No
ALDOA,-0.11535523300229182,0.5144491611559056,Yes
ANTXR2,0.057295645530939646,0.7468708264455618,No
ASPHD1,-0.27883880825057294,0.11031056585104074,Yes
BCRP2,0.05087853323147441,0.7745068252047277,No
C17orf97,0.19327731092436976,0.27226617038332135,No
CALML6,0.0239877769289534,0.8929569776314491,No
CCDC152,0.29595110771581357,0.08947127488126645,No
CCDC91,0.07074102368220016,0.690010836455242,No
CDIPT,-0.3017570664629488,0.0831420043061035,Yes
CHRNB1,-0.29228418640183346,0.09365727101833653,No
COL6A2,0.15385790679908326,0.3834795290536642,No
CORO1A,0.08479755538579067,0.6323252070535661,Yes
CPNE1,-0.1948051948051948,0.2684366913069649,No
CYP1B1,0.06432391138273491,0.7169604202669623,No
DDX60L,0.2589763177998472,0.1389123757685274,No
DOC2A,-0.027654698242933533,0.8766076745456927,Yes
DPP6,-0.09152024446142093,0.6054561091351166,No
DPY19L3,0.2938120702826585,0.0918950881507506,No
EDN3,-0.24125286478227656,0.1687843356005478,No
FAHD1,0.10893812070282657,0.5382600057064066,No
FAM122B,0.23941940412528648,0.17212087751715777,No
FAM57B,0.0722689075630252,0.683648337983409,Yes
FBLN7,-0.040183346065699004,0.8211696412012862,No
GABRE,0.0019862490450725744,0.991742071644367,No
GDF15,0.2638655462184874,0.13140884269005634,No
GDPD3,0.0985485103132162,0.5779069915199134,Yes
GPATCH3,-0.19724980901451492,0.2623840738955282,No
GPC6,-0.11229946524064172,0.5257213982606127,No
GRM7,0.146524064171123,0.4067784588222011,No
GTF2I,0.5025210084033613,0.00277121792205587,No
HERC2P2,0.07776928953399541,0.6609250145622637,No
HIRIP3,-0.07410236822001527,0.6760418967491955,Yes
HLA-C,0.16883116883116883,0.3384285424708277,No
HOXB-AS3,0.32131398013750956,0.06435979669057124,No
HS3ST4,0.2910618792971734,0.09508572404254183,No
INO80E,0.35676088617265084,0.039007219038248185,Yes
JRK,0.16699770817417878,0.34376146541670544,No
KANSL1-AS1,-0.057906799083269664,0.7442545333281875,No
KCTD13,0.4084033613445378,0.017161290827272833,Yes
KHDRBS2,0.2828113063407181,0.10517174191456631,No
KIF22,0.18594346829640945,0.2911477236042227,Yes
KIF4B,-0.019098548510313215,0.9148233867370877,No
LGALS1,-0.46829640947288004,0.005677750873615082,No
LOC100133091,0.1816653934300993,0.30254482282818984,No
LOC100505915,0.5138273491214668,0.002153478519056882,No
LRRC45,0.29472880061115353,0.09085016258534372,No
MAMDC4,-0.0035141329258976317,0.9848610807017163,No
MAPK3,-0.030710466004583648,0.8630216777620299,Yes
MAPT,0.012375859434682964,0.9449883366237344,No
MAZ,0.20397249809014514,0.24621100887040293,Yes
MIR497HG,-0.06493506493506493,0.7143784736979112,No
MVP,-0.24094728800611154,0.16933715220011097,Yes
OAS3,0.21711229946524063,0.21657945917082952,No
PAGR1,0.27181054239877767,0.119867463475629,No
PEG3-AS1,0.0010695187165775401,0.9958709824532569,No
PILRA,0.2210847975553858,0.20813025197255064,No
PLEKHM1,-0.012070282658517952,0.9463616007760886,No
PLVAP,0.3631779984721161,0.03543916607764026,No
PNPO,0.05301757066462949,0.76526226545123,No
PPP4C,-0.016348357524828112,0.9271516891784258,Yes
PPP6R3,0.32711993888464475,0.05948730183307268,No
PRNP,0.0722689075630252,0.683648337983409,No
PRRT2,0.024904507257448433,0.8888652638817386,Yes
QPRT,-0.3433155080213904,0.04743731375539232,Yes
RAF1,-0.01145912910618793,0.9491085867278602,No
RBM10,0.18380443086325438,0.2968109859731491,No
RFPL3,-0.2852559205500382,0.10210162774617944,No
RGS3,-0.05637891520244461,0.7508005425502698,No
SEMA5A,0.0022918258212375857,0.9903658102084599,No
SEZ6L2,-0.17097020626432388,0.3322719481158644,Yes
TAOK2,0.120244461420932,0.49666931467982517,Yes
TAS2R31,0.25958747135217725,0.1379574235798088,No
TBC1D9B,-0.26997708174178764,0.12246038764163344,No
TEKT4,-0.24186401833460655,0.1676826206191469,No
TMBIM4,0.10007639419404124,0.5719942786397475,No
TMEM219,-0.17616501145912908,0.3176129915760245,Yes
TMEM8A,-0.12696715049656226,0.472748492271704,No
TMEM9,-0.02704354469060351,0.8793292184660625,No
TONSL,-0.04354469060351413,0.806430046855757,No
TRAK2,-0.10496562261268143,0.5532625552810593,No
UNC13B,0.334453781512605,0.053758707532322474,No
WWOX,0.3152024446142093,0.06982603080101644,No
YPEL3,-0.006875477463712757,0.9697274219737878,Yes
ZDHHC6,0.028877005347593583,0.871168839730458,No
ZNF229,-0.0374331550802139,0.8332750533138281,No
ZNF835,0.08326967150496561,0.6384994030619298,No
