ENSEMBL ID,HGNC Symbol,Gene Biotype,Description,log2(FC) DUP vs DEL,"P value, DUP vs DEL","FDR-adjusted P value, DUP vs DEL",log2(FC) DUP vs CTL,"P value, DUP vs CTL","FDR-adjusted P value, DUP vs CTL",log2(FC) DEL vs CTL,"P value, DEL vs CTL","FDR-adjusted P value, DEL vs CTL"
ENSG00000103502,CDIPT,protein_coding,CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:1769],1.732447047,2.23E-17,3.02E-13,0.654087342,1.16E-09,1.18E-05,-1.078359705,2.44E-15,3.32E-11
ENSG00000149930,TAOK2,protein_coding,TAO kinase 2 [Source:HGNC Symbol;Acc:16835],1.617757298,3.35E-15,2.28E-11,0.532340291,9.61E-07,0.00132554,-1.085417007,2.56E-14,1.74E-10
ENSG00000169592,INO80E,protein_coding,INO80 complex subunit E [Source:HGNC Symbol;Acc:26905],1.739464922,1.64E-13,6.02E-10,0.643888189,7.99E-07,0.00132554,-1.095576733,2.04E-11,4.62E-08
ENSG00000149932,TMEM219,protein_coding,transmembrane protein 219 [Source:HGNC Symbol;Acc:25201],1.533713594,1.91E-13,6.02E-10,0.486984196,1.14E-05,0.005956277,-1.046729398,2.92E-12,1.32E-08
ENSG00000090238,YPEL3,protein_coding,yippee-like 3 (Drosophila) [Source:HGNC Symbol;Acc:18327],1.774876485,2.21E-13,6.02E-10,0.680776681,9.76E-07,0.00132554,-1.094099803,1.84E-11,4.62E-08
ENSG00000103495,MAZ,protein_coding,MYC-associated zinc finger protein (purine-binding transcription factor) [Source:HGNC Symbol;Acc:6914],1.753077074,3.52E-13,7.97E-10,0.67885222,1.53E-06,0.001753407,-1.074224854,1.99E-11,4.62E-08
ENSG00000149923,PPP4C,protein_coding,"protein phosphatase 4, catalytic subunit [Source:HGNC Symbol;Acc:9319]",1.53683638,1.62E-12,3.15E-09,0.558903212,7.50E-06,0.004634642,-0.977933168,7.26E-11,1.41E-07
ENSG00000102882,MAPK3,protein_coding,mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:6877],1.6261802,4.15E-12,7.05E-09,0.583826015,1.48E-05,0.006955241,-1.042354185,1.76E-10,2.99E-07
ENSG00000149925,ALDOA,protein_coding,"aldolase A, fructose-bisphosphate [Source:HGNC Symbol;Acc:414]",1.8670271,3.43E-11,5.17E-08,0.654805556,0.000111253,0.02095643,-1.212221544,3.82E-10,5.77E-07
ENSG00000174938,SEZ6L2,protein_coding,seizure related 6 homolog (mouse)-like 2 [Source:HGNC Symbol;Acc:30844],1.519751058,1.28E-09,1.74E-06,0.555184593,0.000488281,0.045948064,-0.964566465,1.73E-08,1.85E-05
ENSG00000263136,PAGR1,protein_coding,PAXIP1-associated glutamate-rich protein 1  [Source:RefSeq peptide;Acc:NP_078792],1.741255767,5.48E-09,6.41E-06,0.848162022,8.69E-06,0.005059184,-0.893093745,1.35E-05,0.007997453
ENSG00000102879,CORO1A,protein_coding,"coronin, actin binding protein, 1A [Source:HGNC Symbol;Acc:2252]",1.855144649,5.66E-09,6.41E-06,0.647236931,0.002058252,0.087609621,-1.207907718,1.77E-08,1.85E-05
