ENSEMBL ID,HGNC Symbol,Gene Biotype,Description,log2(FC) DUP vs DEL,"P value, DUP vs DEL","FDR-adjusted P value, DUP vs DEL",log2(FC) DUP vs CTL,"P value, DUP vs CTL","FDR-adjusted P value, DUP vs CTL",log2(FC) DEL vs CTL,"P value, DEL vs CTL","FDR-adjusted P value, DEL vs CTL"
ENSG00000103502,CDIPT,protein_coding,CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:1769],1.812573685,1.00E-18,1.58E-14,0.83295453,7.04E-10,1.11E-05,-0.979619155,3.07E-13,9.69E-10
ENSG00000149930,TAOK2,protein_coding,TAO kinase 2 [Source:HGNC Symbol;Acc:16835],1.715608577,4.42E-18,3.49E-14,0.643322842,1.58E-07,0.001247697,-1.072285735,2.03E-14,1.07E-10
ENSG00000149925,ALDOA,protein_coding,"aldolase A, fructose-bisphosphate [Source:HGNC Symbol;Acc:414]",1.711379654,2.28E-16,1.15E-12,0.491826281,0.000117732,0.032047546,-1.219553373,9.52E-15,7.52E-11
ENSG00000174938,SEZ6L2,protein_coding,seizure related 6 homolog (mouse)-like 2 [Source:HGNC Symbol;Acc:30844],2.060515104,3.27E-16,1.15E-12,0.822387155,7.41E-07,0.001948751,-1.238127949,2.58E-12,5.81E-09
ENSG00000103495,MAZ,protein_coding,MYC-associated zinc finger protein (purine-binding transcription factor) [Source:HGNC Symbol;Acc:6914],1.478007907,3.64E-16,1.15E-12,0.549268555,3.10E-06,0.004511185,-0.928739352,6.30E-13,1.66E-09
ENSG00000149923,PPP4C,protein_coding,"protein phosphatase 4, catalytic subunit [Source:HGNC Symbol;Acc:9319]",1.402061243,4.92E-16,1.30E-12,0.466478506,1.95E-05,0.013958177,-0.935582737,1.98E-13,7.81E-10
ENSG00000103485,QPRT,protein_coding,quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:9755],1.236486604,1.72E-15,3.87E-12,0.224216163,0.014495548,0.244520925,-1.012270441,1.63E-15,2.58E-11
ENSG00000263136,PAGR1,protein_coding,PAXIP1-associated glutamate-rich protein 1  [Source:RefSeq peptide;Acc:NP_078792],1.622789947,4.79E-14,9.45E-11,0.697467278,3.14E-06,0.004511185,-0.92532267,1.16E-09,1.52E-06
ENSG00000149926,FAM57B,protein_coding,"family with sequence similarity 57, member B [Source:HGNC Symbol;Acc:25295]",1.871968382,8.50E-14,1.49E-10,0.547148332,0.000553056,0.062902544,-1.32482005,2.39E-11,4.73E-08
ENSG00000079616,KIF22,protein_coding,kinesin family member 22 [Source:HGNC Symbol;Acc:6391],1.313483709,9.52E-13,1.50E-09,0.539534895,4.62E-05,0.021431541,-0.773948814,2.90E-09,3.27E-06
