Genotype,Model,Estimate,Std. Error,t value,Pr(>|t|),VolumetricComponent,Significance,SigPos,adjusted_p
Genotype16pDeletion...1,model1,1.1021844132098284,0.15985986973184885,6.894691050722409,1.2014944925423774e-10,L.Cerebral_WM,***,1.3620442829416772,1.0504494706227642e-9
Genotype16pDuplication...2,model1,-0.577953929,0.14408130617704148,-4.011304065,9.270627123914839e-5,L.Cerebral_WM,***,-0.822035235,1.795450569568317e-4
Genotype16pDeletion...3,model2,0.16498909637119422,0.051163685,3.224730529045447,0.001532319,L.Cerebral_WM,**,0.31615278117683054,0.007442693
Genotype16pDuplication...4,model2,-0.09293011,0.043066435,-2.157831513,0.032451545,L.Cerebral_WM,*,-0.235996545,0.075228581
Genotype16pDeletion...5,model3,0.1491670200237505,0.052154380953928915,2.860105274,0.004815281,L.Cerebral_WM,**,0.30132140097767945,0.020464946098293236
Genotype16pDuplication...6,model3,-0.105269675,0.044177423157777236,-2.382884007,0.018381228529865408,L.Cerebral_WM,*,-0.249447098,0.053568151715607755
Genotype16pDeletion...7,model4,0.14249908111768847,0.051217653,2.782225896648131,0.006056704,L.Cerebral_WM,**,0.2937167343245555,0.020592793321790336
Genotype16pDuplication...8,model4,-0.098699916,0.043860964925933735,-2.250290583,0.025810814762301904,L.Cerebral_WM,*,-0.242560881,0.061881254
Genotype16pDeletion...1,model1,0.8160789404053697,0.14497509075982074,5.629097634140214,8.002885908160728e-8,L.cerebral_cortex,***,1.0610540311651904,3.4222269811878557e-7
Genotype16pDuplication...2,model1,-0.38096914,0.1306656916138382,-2.915601907,0.004063108,L.cerebral_cortex,**,-0.611634831,0.005618637
Genotype16pDeletion...3,model2,-0.027370359,0.050173100313257904,-0.545518589,0.5861662122869503,L.cerebral_cortex, ,-0.177543459,0.6820379825564928
Genotype16pDuplication...4,model2,0.05553859,0.042232622,1.3150637513613166,0.1903938745497883,L.cerebral_cortex, ,0.1977712120767064,0.30663434532755374
Genotype16pDeletion...5,model3,-0.044705881,0.051408924,-0.869613235,0.38584784853009146,L.cerebral_cortex, ,-0.196114804,0.5229927221014334
