"","region","gene_symbol","expression","in_16p_region"
"1","ctx-lh-bankssts","ALDOA",0.478570844829665,"Yes"
"2","ctx-lh-bankssts","EDN3",0.45938170037782,"No"
"3","ctx-lh-bankssts","GABRE",0.574074269070694,"No"
"4","ctx-lh-bankssts","GRM7",0.559490501481327,"No"
"5","ctx-lh-bankssts","KIF22",0.548512839574531,"Yes"
"6","ctx-lh-bankssts","MAZ",0.417702349876952,"Yes"
"7","ctx-lh-bankssts","OAS3",0.414492960536416,"No"
"8","ctx-lh-bankssts","PPP4C",0.314506567884876,"Yes"
"9","ctx-lh-bankssts","MAPK3",0.448233643913548,"Yes"
"10","ctx-lh-bankssts","DOC2A",0.617962297424939,"Yes"
"11","ctx-lh-bankssts","HIRIP3",0.562762860856369,"Yes"
"12","ctx-lh-bankssts","TAOK2",0.380022126393606,"Yes"
"13","ctx-lh-bankssts","MVP",0.437852311843259,"Yes"
"14","ctx-lh-bankssts","CDIPT",0.490571124068227,"Yes"
"15","ctx-lh-bankssts","RFPL3",0.59306199422798,"No"
"16","ctx-lh-bankssts","CORO1A",0.46053298123965,"Yes"
"17","ctx-lh-bankssts","QPRT",0.49416820749808,"Yes"
"18","ctx-lh-bankssts","SEZ6L2",0.530076326125194,"No"
"19","ctx-lh-bankssts","PAGR1",0.580831213819996,"No"
"20","ctx-lh-bankssts","PLVAP",0.392930598820926,"No"
"21","ctx-lh-bankssts","YPEL3",0.463576920046602,"Yes"
"22","ctx-lh-bankssts","FAM57B",0.38285026328598,"Yes"
"23","ctx-lh-bankssts","DDX60L",0.447156952682165,"No"
"24","ctx-lh-bankssts","PRRT2",0.620563681049508,"Yes"
"25","ctx-lh-bankssts","TMEM219",0.504868343166158,"Yes"
"26","ctx-lh-bankssts","TEKT4",0.543169837289033,"No"
"27","ctx-lh-bankssts","FAM122B",0.521345596937221,"No"
"28","ctx-lh-bankssts","CALML6",0.408887370345689,"No"
"29","ctx-lh-bankssts","KCTD13",0.440030250143837,"Yes"
"30","ctx-lh-bankssts","TAS2R31",0.532174128020216,"No"
"31","ctx-lh-bankssts","INO80E",0.457946032677328,"Yes"
