"","gene_symbol","region","expression","in_16p_region","upreg"
"1","RPL12","ctx-rh-insula",12.4182504342412,"No","No"
"2","RPL12","ctx-lh-paracentral",12.364290270313,"No","No"
"3","RPL12","ctx-rh-precuneus",12.3514377261799,"No","No"
"4","RPL12","ctx-lh-medialorbitofrontal",12.5548116189617,"No","No"
"5","RPL12","ctx-rh-inferiortemporal",12.3510641400556,"No","No"
"6","RPL12","ctx-rh-medialorbitofrontal",12.5373422517671,"No","No"
"7","RPL12","ctx-rh-precentral",12.1287026082846,"No","No"
"8","RPL12","ctx-rh-lateralorbitofrontal",12.3379959339429,"No","No"
"9","RPL12","ctx-rh-parahippocampal",12.4653161831717,"No","No"
"10","RPL12","ctx-lh-superiortemporal",12.4435682162547,"No","No"
"11","RPL12","ctx-lh-parahippocampal",12.7099158011752,"No","No"
"12","RPL12","ctx-rh-superiorparietal",12.2293597164509,"No","No"
"13","RPL12","ctx-lh-precuneus",12.3921159265465,"No","No"
"14","RPL12","ctx-lh-inferiortemporal",12.4988014772237,"No","No"
"15","RPL12","ctx-rh-supramarginal",12.2322477265333,"No","No"
"16","RPL12","ctx-rh-parsopercularis",12.4568401326757,"No","No"
"17","RPL12","ctx-rh-lingual",12.3503322467535,"No","No"
"18","RPL12","ctx-lh-isthmuscingulate",12.614444042098,"No","No"
"19","RPL12","ctx-rh-isthmuscingulate",12.454238799064,"No","No"
"20","RPL12","ctx-rh-lateraloccipital",12.0044602733165,"No","No"
"21","RPL12","ctx-rh-superiortemporal",12.2662155304871,"No","No"
"22","RPL12","ctx-lh-entorhinal",12.7133150125216,"No","No"
"23","RPL12","ctx-rh-temporalpole",12.4338878044484,"No","No"
"24","RPL12","ctx-lh-superiorparietal",12.2249434830658,"No","No"
"25","RPL12","ctx-lh-parsorbitalis",12.289153828368,"No","No"
"26","RPL12","ctx-rh-caudalmiddlefrontal",12.1319279019741,"No","No"
"27","RPL12","ctx-rh-entorhinal",12.5693029925529,"No","No"
"28","RPL12","ctx-lh-fusiform",12.4563522931105,"No","No"
"29","RPL12","ctx-rh-pericalcarine",12.0215802292825,"No","No"
"30","RPL12","ctx-rh-caudalanteriorcingulate",12.4022142542019,"No","No"
"31","RPL12","ctx-rh-frontalpole",12.6183524413984,"No","No"
"32","RPL12","ctx-rh-parstriangularis",12.3324059493881,"No","No"
"33","RPL12","ctx-rh-postcentral",12.2054337294423,"No","No"
"34","RPL12","ctx-rh-rostralanteriorcingulate",12.4041248232904,"No","No"
"35","RPL12","ctx-lh-superiorfrontal",12.4043405693275,"No","No"
"36","RPL12","ctx-lh-rostralanteriorcingulate",12.7358671692424,"No","No"
"37","RPL12","ctx-lh-precentral",12.3223755728473,"No","No"
"38","RPL12","ctx-lh-cuneus",12.208849874213,"No","No"
"39","RPL12","ctx-rh-posteriorcingulate",12.3149065772238,"No","No"
"40","RPL12","ctx-lh-parsopercularis",12.3915348908431,"No","No"
"41","RPL12","ctx-lh-insula",12.4453487572158,"No","No"
"42","RPL12","ctx-rh-transversetemporal",12.3950106595181,"No","No"
"43","RPL12","ctx-rh-superiorfrontal",12.2897649163605,"No","No"
"44","RPL12","ctx-rh-parsorbitalis",12.2190888823237,"No","No"
"45","RPL12","ctx-lh-transversetemporal",12.3453654150996,"No","No"
"46","RPL12","ctx-rh-cuneus",11.9936194374912,"No","No"
"47","RPL12","ctx-lh-inferiorparietal",12.2505596015286,"No","No"
"48","RPL12","ctx-lh-pericalcarine",12.1856047476027,"No","No"
"49","RPL12","ctx-lh-postcentral",12.3936738444537,"No","No"
"50","RPL12","ctx-lh-supramarginal",12.3518909831509,"No","No"
"51","RPL12","ctx-rh-fusiform",12.2880702284522,"No","No"
"52","RPL12","ctx-lh-rostralmiddlefrontal",12.3457259056837,"No","No"
"53","RPL12","ctx-rh-middletemporal",12.2520918322887,"No","No"
"54","RPL12","ctx-lh-frontalpole",12.2991236039032,"No","No"
"55","RPL12","ctx-lh-lingual",12.3237769489001,"No","No"
"56","RPL12","ctx-lh-lateralorbitofrontal",12.3208945882574,"No","No"
