"","gene_symbol","region","expression","in_16p_region","upreg"
"1","GSC","ctx-rh-insula",1.73340589141484,"No","Yes"
"2","GSC","ctx-lh-paracentral",1.48132509493175,"No","Yes"
"3","GSC","ctx-rh-precuneus",1.77747661587137,"No","Yes"
"4","GSC","ctx-lh-medialorbitofrontal",1.48482688000072,"No","Yes"
"5","GSC","ctx-rh-inferiortemporal",1.7891680877993,"No","Yes"
"6","GSC","ctx-rh-medialorbitofrontal",1.67563049068862,"No","Yes"
"7","GSC","ctx-rh-precentral",1.86395720070904,"No","Yes"
"8","GSC","ctx-rh-lateralorbitofrontal",1.72283623086581,"No","Yes"
"9","GSC","ctx-rh-parahippocampal",1.7529377836089,"No","Yes"
"10","GSC","ctx-lh-superiortemporal",1.49444821461538,"No","Yes"
"11","GSC","ctx-lh-parahippocampal",1.34902675446924,"No","Yes"
"12","GSC","ctx-rh-superiorparietal",1.98312989670885,"No","Yes"
"13","GSC","ctx-lh-precuneus",1.61608967030565,"No","Yes"
"14","GSC","ctx-lh-inferiortemporal",1.60749864365849,"No","Yes"
"15","GSC","ctx-rh-supramarginal",1.72327693330218,"No","Yes"
"16","GSC","ctx-rh-parsopercularis",1.60560051477783,"No","Yes"
"17","GSC","ctx-rh-lingual",1.59706837748573,"No","Yes"
"18","GSC","ctx-lh-isthmuscingulate",1.44761247964863,"No","Yes"
"19","GSC","ctx-rh-isthmuscingulate",2.03388091428346,"No","Yes"
"20","GSC","ctx-rh-lateraloccipital",1.90239720889774,"No","Yes"
"21","GSC","ctx-rh-superiortemporal",1.82997859830578,"No","Yes"
"22","GSC","ctx-lh-entorhinal",1.55758499581125,"No","Yes"
"23","GSC","ctx-rh-temporalpole",1.87404429752681,"No","Yes"
"24","GSC","ctx-lh-superiorparietal",1.70780746136647,"No","Yes"
"25","GSC","ctx-lh-parsorbitalis",1.52271975549886,"No","Yes"
"26","GSC","ctx-rh-caudalmiddlefrontal",1.60244883039808,"No","Yes"
"27","GSC","ctx-rh-entorhinal",1.83867175738826,"No","Yes"
"28","GSC","ctx-lh-fusiform",1.60995126106878,"No","Yes"
"29","GSC","ctx-rh-pericalcarine",1.75083507497362,"No","Yes"
"30","GSC","ctx-rh-caudalanteriorcingulate",1.69937222759524,"No","Yes"
"31","GSC","ctx-rh-frontalpole",1.46911560254574,"No","Yes"
"32","GSC","ctx-rh-parstriangularis",1.83331911505876,"No","Yes"
"33","GSC","ctx-rh-postcentral",1.72140179027422,"No","Yes"
"34","GSC","ctx-rh-rostralanteriorcingulate",1.62411488755972,"No","Yes"
"35","GSC","ctx-lh-superiorfrontal",1.6658599882957,"No","Yes"
"36","GSC","ctx-lh-rostralanteriorcingulate",1.56077380959614,"No","Yes"
"37","GSC","ctx-lh-precentral",1.60665047983719,"No","Yes"
"38","GSC","ctx-lh-cuneus",1.53949562117347,"No","Yes"
"39","GSC","ctx-rh-posteriorcingulate",1.9689721946664,"No","Yes"
"40","GSC","ctx-lh-parsopercularis",1.54576471000672,"No","Yes"
"41","GSC","ctx-lh-insula",1.38119136461916,"No","Yes"
"42","GSC","ctx-rh-transversetemporal",2.05441789927234,"No","Yes"
"43","GSC","ctx-rh-superiorfrontal",1.72712919059657,"No","Yes"
"44","GSC","ctx-rh-parsorbitalis",1.8600967852469,"No","Yes"
"45","GSC","ctx-lh-transversetemporal",1.61057693883048,"No","Yes"
"46","GSC","ctx-rh-cuneus",1.9270036192699,"No","Yes"
"47","GSC","ctx-lh-inferiorparietal",1.62550085631207,"No","Yes"
"48","GSC","ctx-lh-pericalcarine",1.80650223636109,"No","Yes"
"49","GSC","ctx-lh-postcentral",1.60016431429705,"No","Yes"
"50","GSC","ctx-lh-supramarginal",1.57983132138358,"No","Yes"
"51","GSC","ctx-rh-fusiform",1.79743857512678,"No","Yes"
"52","GSC","ctx-lh-rostralmiddlefrontal",1.56264117540181,"No","Yes"
"53","GSC","ctx-rh-middletemporal",1.9188513320411,"No","Yes"
"54","GSC","ctx-lh-frontalpole",1.64031890616687,"No","Yes"
"55","GSC","ctx-lh-lingual",1.60624514477754,"No","Yes"
"56","GSC","ctx-lh-lateralorbitofrontal",1.57542381461101,"No","Yes"
"57","GSC","ctx-lh-bankssts",1.79306491226348,"No","Yes"
"58","GSC","ctx-rh-inferiorparietal",1.72732596600996,"No","Yes"
"59","GSC","ctx-lh-caudalanteriorcingulate",1.47362602695524,"No","Yes"
"60","GSC","ctx-lh-lateraloccipital",1.51517971146118,"No","Yes"
"61","GSC","ctx-lh-posteriorcingulate",1.75119910235746,"No","Yes"
"62","GSC","ctx-rh-rostralmiddlefrontal",1.72648672121243,"No","Yes"
"63","GSC","ctx-lh-parstriangularis",1.65887348113548,"No","Yes"
"64","GSC","ctx-lh-middletemporal",1.60709642598325,"No","Yes"
"65","GSC","ctx-rh-bankssts",1.40361275055673,"No","Yes"
"66","GSC","ctx-lh-caudalmiddlefrontal",1.485215983756,"No","Yes"
"67","GSC","ctx-lh-temporalpole",1.77885246794848,"No","Yes"
"68","GSC","ctx-rh-paracentral",1.63156679446506,"No","Yes"
"69","XRCC2","ctx-rh-insula",1.70172957699004,"No","No"
"70","XRCC2","ctx-lh-paracentral",1.60295482313227,"No","No"
"71","XRCC2","ctx-rh-precuneus",1.66715436808002,"No","No"
"72","XRCC2","ctx-lh-medialorbitofrontal",1.34961227060267,"No","No"
"73","XRCC2","ctx-rh-inferiortemporal",1.75551638529395,"No","No"
"74","XRCC2","ctx-rh-medialorbitofrontal",1.5815112652781,"No","No"
"75","XRCC2","ctx-rh-precentral",1.5802102963948,"No","No"
"76","XRCC2","ctx-rh-lateralorbitofrontal",1.52379931400541,"No","No"
"77","XRCC2","ctx-rh-parahippocampal",1.65365478674558,"No","No"
"78","XRCC2","ctx-lh-superiortemporal",1.44435700345859,"No","No"
"79","XRCC2","ctx-lh-parahippocampal",1.29947526041355,"No","No"
"80","XRCC2","ctx-rh-superiorparietal",1.7369637353903,"No","No"
"81","XRCC2","ctx-lh-precuneus",1.46233647527669,"No","No"
"82","XRCC2","ctx-lh-inferiortemporal",1.46160837048183,"No","No"
"83","XRCC2","ctx-rh-supramarginal",1.61877613390711,"No","No"
"84","XRCC2","ctx-rh-parsopercularis",1.4625653331967,"No","No"
"85","XRCC2","ctx-rh-lingual",1.5979320729381,"No","No"
"86","XRCC2","ctx-lh-isthmuscingulate",1.3818530247791,"No","No"
"87","XRCC2","ctx-rh-isthmuscingulate",1.63284815357111,"No","No"
"88","XRCC2","ctx-rh-lateraloccipital",1.6294249945357,"No","No"
"89","XRCC2","ctx-rh-superiortemporal",1.69178576467895,"No","No"
"90","XRCC2","ctx-lh-entorhinal",1.39319933842001,"No","No"
"91","XRCC2","ctx-rh-temporalpole",1.5331008954583,"No","No"
"92","XRCC2","ctx-lh-superiorparietal",1.44685126957821,"No","No"
"93","XRCC2","ctx-lh-parsorbitalis",1.53979176746502,"No","No"
"94","XRCC2","ctx-rh-caudalmiddlefrontal",1.60318517951892,"No","No"
"95","XRCC2","ctx-rh-entorhinal",2.1973903887715,"No","No"
"96","XRCC2","ctx-lh-fusiform",1.49656656101507,"No","No"
"97","XRCC2","ctx-rh-pericalcarine",1.58730253052788,"No","No"
"98","XRCC2","ctx-rh-caudalanteriorcingulate",1.51440730871051,"No","No"
"99","XRCC2","ctx-rh-frontalpole",1.35199956795423,"No","No"
"100","XRCC2","ctx-rh-parstriangularis",1.74677086743851,"No","No"
"101","XRCC2","ctx-rh-postcentral",1.56739248621704,"No","No"
"102","XRCC2","ctx-rh-rostralanteriorcingulate",1.51759788106386,"No","No"
"103","XRCC2","ctx-lh-superiorfrontal",1.39490659380814,"No","No"
"104","XRCC2","ctx-lh-rostralanteriorcingulate",1.54864682048721,"No","No"
"105","XRCC2","ctx-lh-precentral",1.53449227428805,"No","No"
"106","XRCC2","ctx-lh-cuneus",1.46706714556488,"No","No"
"107","XRCC2","ctx-rh-posteriorcingulate",1.72408427217864,"No","No"
"108","XRCC2","ctx-lh-parsopercularis",1.52260158251258,"No","No"
"109","XRCC2","ctx-lh-insula",1.31576849616891,"No","No"
"110","XRCC2","ctx-rh-transversetemporal",1.46161781338945,"No","No"
"111","XRCC2","ctx-rh-superiorfrontal",1.62191739284005,"No","No"
"112","XRCC2","ctx-rh-parsorbitalis",1.67781303586643,"No","No"
"113","XRCC2","ctx-lh-transversetemporal",1.53094177232221,"No","No"
"114","XRCC2","ctx-rh-cuneus",1.58392675921329,"No","No"
"115","XRCC2","ctx-lh-inferiorparietal",1.45337978387454,"No","No"
"116","XRCC2","ctx-lh-pericalcarine",1.5702807514832,"No","No"
"117","XRCC2","ctx-lh-postcentral",1.43138472894648,"No","No"
"118","XRCC2","ctx-lh-supramarginal",1.42989551478751,"No","No"
