"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"1","CDIPT","",0.553183892889341,0,"hLCL","Talkowski et al. 2014","","Yes"
"2","TAOK2","",0.538982913955918,0,"hLCL","Talkowski et al. 2014","","Yes"
"3","SPN","",0.738514443150213,2e-06,"hLCL","Talkowski et al. 2014","","Yes"
"4","FAM101B","",1.33959469180968,5e-06,"hLCL","Talkowski et al. 2014","","No"
"5","TMEM219","",0.590750065139687,1.1e-05,"hLCL","Talkowski et al. 2014","","Yes"
"6","MAP4K2","",0.340594562247011,2.7e-05,"hLCL","Talkowski et al. 2014","","No"
"7","KSR1","",1.44760642686327,2.7e-05,"hLCL","Talkowski et al. 2014","","No"
"8","PPP4C","",0.471848424932984,6e-05,"hLCL","Talkowski et al. 2014","","Yes"
"9","HSD17B7P2","",-1.03919452302774,0.000115,"hLCL","Talkowski et al. 2014","","No"
"10","SH2D3A","",-0.490336320771457,0.000123,"hLCL","Talkowski et al. 2014","","No"
"11","MCF2","",-1.61526129560198,0.00013,"hLCL","Talkowski et al. 2014","","No"
"12","C1orf127","",-2.15009273018262,0.00015,"hLCL","Talkowski et al. 2014","","No"
"13","FTCD","",-1.8216247448319,0.00015,"hLCL","Talkowski et al. 2014","","No"
"14","TRA2A","",-0.367590224900622,2e-04,"hLCL","Talkowski et al. 2014","","No"
"15","HIRIP3","",0.47788168366484,0.00021,"hLCL","Talkowski et al. 2014","","Yes"
"16","SLCO5A1","",1.07814730780829,0.00021,"hLCL","Talkowski et al. 2014","","No"
"17","ACTL10","",-1.0817692124869,0.00022,"hLCL","Talkowski et al. 2014","","No"
"18","OR6W1P","",-0.584278011274777,0.00025,"hLCL","Talkowski et al. 2014","","No"
"19","SFN","",-2.31308991179218,0.000255,"hLCL","Talkowski et al. 2014","","No"
"20","ATP1A3","",-1.97758357828959,0.00026,"hLCL","Talkowski et al. 2014","","No"
"21","APC2","",-1.33242466590062,0.00027,"hLCL","Talkowski et al. 2014","","No"
"22","DCP1A","",0.312834013592774,0.00027,"hLCL","Talkowski et al. 2014","","No"
"23","CARNS1","",-0.994463948995574,0.000275,"hLCL","Talkowski et al. 2014","","No"
"24","SCARB1","",0.387446338248198,0.00028,"hLCL","Talkowski et al. 2014","","No"
"25","MAPK3","",0.566433173249412,3e-04,"hLCL","Talkowski et al. 2014","","Yes"
"26","TRAF3IP3","",-0.569923901382319,0.00033,"hLCL","Talkowski et al. 2014","","No"
"27","C9orf103","",-0.503123755769908,0.000366,"hLCL","Talkowski et al. 2014","","No"
"28","ERICH1","",-0.229140594487307,0.00042,"hLCL","Talkowski et al. 2014","","No"
"29","DNAH1","",-0.64552897448653,0.00045,"hLCL","Talkowski et al. 2014","","No"
"30","NPTXR","",-1.65943070807085,0.00047,"hLCL","Talkowski et al. 2014","","No"
"31","C17orf28","",-1.44265424519533,0.00048,"hLCL","Talkowski et al. 2014","","No"
"32","ADAMTS17","",-1.29281676804531,0.00051,"hLCL","Talkowski et al. 2014","","No"
"33","TRAF7","",0.302778748305896,0.00055,"hLCL","Talkowski et al. 2014","","No"
"34","STX3","",1.59924216259452,0.00056,"hLCL","Talkowski et al. 2014","","No"
"35","PTPN6","",-0.38708519617678,0.00057,"hLCL","Talkowski et al. 2014","","No"
"36","NGRN","",0.375999965604937,0.000586,"hLCL","Talkowski et al. 2014","","No"
"37","PION","",-1.21740892891876,0.000588,"hLCL","Talkowski et al. 2014","","No"
"38","LOC339166","",-1.49474148723569,0.00059,"hLCL","Talkowski et al. 2014","","No"
"39","LAMA2","",-0.930335914423278,6e-04,"hLCL","Talkowski et al. 2014","","No"
"40","ALDOA","",0.529706324788376,0.00064,"hLCL","Talkowski et al. 2014","","Yes"
"41","MAPK6","",0.760331460978484,0.00069,"hLCL","Talkowski et al. 2014","","No"
"42","GUSBP11","",-0.478832108954252,0.00069,"hLCL","Talkowski et al. 2014","","No"
"43","OCRL","",0.673534646819011,0.00069,"hLCL","Talkowski et al. 2014","","No"
"44","LGALS14","",-2.08103032027205,0.00071,"hLCL","Talkowski et al. 2014","","No"
"45","TPBG","",-2.49112420463194,0.00072,"hLCL","Talkowski et al. 2014","","No"
"46","C3orf20","",-1.39103421306638,0.00073,"hLCL","Talkowski et al. 2014","","No"
"47","ZNF37BP","",-0.402213694518912,0.00075,"hLCL","Talkowski et al. 2014","","No"
"48","LIPE","",-0.550923786321934,0.00076,"hLCL","Talkowski et al. 2014","","No"
"49","LOC388152","",0.737366001020263,0.00079,"hLCL","Talkowski et al. 2014","","No"
"50","SPTBN4","",-1.1541539910349,0.00081,"hLCL","Talkowski et al. 2014","","No"
"51","AGPAT3","",0.307785870594316,0.00081,"hLCL","Talkowski et al. 2014","","No"
"52","SDHAP2","",-0.423669478249583,0.00081,"hLCL","Talkowski et al. 2014","","No"
"53","AHDC1","",0.606597118358705,0.00082,"hLCL","Talkowski et al. 2014","","No"
"54","RHOV","",1.08244651752589,0.00082,"hLCL","Talkowski et al. 2014","","No"
"55","MCEE","",-0.398802699583417,0.00082,"hLCL","Talkowski et al. 2014","","No"
"56","SPNS1","",0.311515648609024,9e-04,"hLCL","Talkowski et al. 2014","","No"
"57","RNASEH2B","",-0.528297426322275,0.00092,"hLCL","Talkowski et al. 2014","","No"
"58","PMFBP1","",-1.03365291903753,0.00097,"hLCL","Talkowski et al. 2014","","No"
"59","STAMBPL1","",-0.62911261099125,0.001,"hLCL","Talkowski et al. 2014","","No"
"60","TRIB2","",-2.17103814394141,0.001,"hLCL","Talkowski et al. 2014","","No"
"61","PABPC1L","",-0.416691723880738,0.001087,"hLCL","Talkowski et al. 2014","","No"
"62","KCTD2","",0.35889755751952,0.00114,"hLCL","Talkowski et al. 2014","","No"
"63","RHBDL1","",-1.06677581995738,0.00119,"hLCL","Talkowski et al. 2014","","No"
"64","PDE7A","",-0.721847962128591,0.00119,"hLCL","Talkowski et al. 2014","","No"
"65","NEDD9","",1.10546574274437,0.00132,"hLCL","Talkowski et al. 2014","","No"
"66","C20orf30","",-0.220415362032509,0.00136,"hLCL","Talkowski et al. 2014","","No"
"67","SIK2","",0.44380740973775,0.0014,"hLCL","Talkowski et al. 2014","","No"
"68","C12orf61","",-0.875204719215548,0.0014,"hLCL","Talkowski et al. 2014","","No"
"69","KIF22","",0.407043783883732,0.0014,"hLCL","Talkowski et al. 2014","","Yes"
"70","DIP2B","",0.764134000626542,0.00143,"hLCL","Talkowski et al. 2014","","No"
"71","STRA6","",-1.87312452101685,0.00145,"hLCL","Talkowski et al. 2014","","No"
"72","ACOT13","",0.366804584807057,0.00151,"hLCL","Talkowski et al. 2014","","No"
"73","NFAM1","",1.21758205562001,0.00154,"hLCL","Talkowski et al. 2014","","No"
"74","HSH2D","",-0.757584351412317,0.00159,"hLCL","Talkowski et al. 2014","","No"
"75","SPRED1","",0.956006931376373,0.0016,"hLCL","Talkowski et al. 2014","","No"
"76","CDKN2B-AS1","",-1.10613750973526,0.00161,"hLCL","Talkowski et al. 2014","","No"
"77","LCN12","",-1.03104727057021,0.0017,"hLCL","Talkowski et al. 2014","","No"
"78","LOC727849","",0.789911629047554,0.00178,"hLCL","Talkowski et al. 2014","","No"
"79","DENND1A","",0.553168375667512,0.00179,"hLCL","Talkowski et al. 2014","","No"
"80","CD82","",0.723914618788871,0.0018,"hLCL","Talkowski et al. 2014","","No"
"81","SERTAD2","",0.303381988557417,0.00181,"hLCL","Talkowski et al. 2014","","No"
"82","CARD11","",-0.821093303729742,0.00181,"hLCL","Talkowski et al. 2014","","No"
"83","AGSK1","",0.8349367722573,0.00182,"hLCL","Talkowski et al. 2014","","No"
"84","USP17","",-2.91803321744339,0.00182,"hLCL","Talkowski et al. 2014","","No"
"85","LOC645431","",-0.964484576570128,0.00192,"hLCL","Talkowski et al. 2014","","No"
"86","PDZK1","",-1.17847805691292,0.00199,"hLCL","Talkowski et al. 2014","","No"
"87","MPV17","",-0.277265542061417,0.00199,"hLCL","Talkowski et al. 2014","","No"
"88","GSTM3","",-1.45912703150524,0.002,"hLCL","Talkowski et al. 2014","","No"
"89","TBC1D2B","",0.363154727043614,0.002,"hLCL","Talkowski et al. 2014","","No"
"90","FAM204A","",-0.172714737978425,0.0021,"hLCL","Talkowski et al. 2014","","No"
"91","DYNLT1","",0.470396407305504,0.0021,"hLCL","Talkowski et al. 2014","","No"
"92","WASL","",0.268298965527003,0.00212,"hLCL","Talkowski et al. 2014","","No"
"93","LOC100133612","",-0.699120261145872,0.0022,"hLCL","Talkowski et al. 2014","","No"
"94","FSCN2","",-0.603264595913481,0.00226,"hLCL","Talkowski et al. 2014","","No"
"95","ARL11","",-0.761977969036154,0.00228,"hLCL","Talkowski et al. 2014","","No"
"96","PATL2","",-0.602059224911402,0.0023,"hLCL","Talkowski et al. 2014","","No"
"97","OGT","",-0.402900450300207,0.0023,"hLCL","Talkowski et al. 2014","","No"
"98","PGBD1","",0.674674090456926,0.00231,"hLCL","Talkowski et al. 2014","","No"
"99","PNOC","",-0.767694565657132,0.002338,"hLCL","Talkowski et al. 2014","","No"
"100","LOC728393","",-2.58700832736563,0.00239,"hLCL","Talkowski et al. 2014","","No"
