"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"1","TAOK2","",-0.87136281919403,0,"hLCL","Talkowski et al. 2014","","Yes"
"2","PPP4C","",-0.749645043580165,0,"hLCL","Talkowski et al. 2014","","Yes"
"3","CDIPT","",-0.764256617890509,1e-06,"hLCL","Talkowski et al. 2014","","Yes"
"4","HIRIP3","",-0.956141964695331,1e-06,"hLCL","Talkowski et al. 2014","","Yes"
"5","INO80E","",-1.00061999578248,1e-06,"hLCL","Talkowski et al. 2014","","Yes"
"6","KIF22","",-1.05612433645149,6e-06,"hLCL","Talkowski et al. 2014","","Yes"
"7","NFYB","",-0.396372648613834,1.8e-05,"hLCL","Talkowski et al. 2014","","No"
"8","C16orf53","",-1.03228004149218,2e-05,"hLCL","Talkowski et al. 2014","","Yes"
"9","KCTD13","",-0.752335018979438,2e-05,"hLCL","Talkowski et al. 2014","","Yes"
"10","CORO1A","",-0.768083035541674,3.5e-05,"hLCL","Talkowski et al. 2014","","Yes"
"11","MAZ","",-1.00009142071047,3.9e-05,"hLCL","Talkowski et al. 2014","","Yes"
"12","DPY19L3","",-0.412906457146633,0.000144,"hLCL","Talkowski et al. 2014","","No"
"13","DBF4B","",-0.453640565323612,0.000149,"hLCL","Talkowski et al. 2014","","No"
"14","SPN","",-0.745504941577159,0.000153,"hLCL","Talkowski et al. 2014","","Yes"
"15","XRCC2","",-0.716333185986767,0.000184,"hLCL","Talkowski et al. 2014","","No"
"16","MATL2963","",-0.547804465992469,0.000346,"hLCL","Talkowski et al. 2014","","No"
"17","ZNF37BP","",-0.604468590507732,0.000381,"hLCL","Talkowski et al. 2014","","No"
"18","MMS22L","",-0.592172991534198,0.000383,"hLCL","Talkowski et al. 2014","","No"
"19","VPS18","",0.431289278043919,0.000384,"hLCL","Talkowski et al. 2014","","No"
"20","PKD2","",-0.627755626772031,0.000398,"hLCL","Talkowski et al. 2014","","No"
"21","GTSE1","",-0.538758832629083,0.000453,"hLCL","Talkowski et al. 2014","","No"
"22","NAA16","",-0.390139685229142,0.000468,"hLCL","Talkowski et al. 2014","","No"
"23","FANCD2","",-0.463288984955311,0.000533,"hLCL","Talkowski et al. 2014","","No"
"24","POLE","",-0.431073110166263,0.000538,"hLCL","Talkowski et al. 2014","","No"
"25","CENPJ","",-0.632444571942346,0.000538,"hLCL","Talkowski et al. 2014","","No"
"26","LIG1","",-0.399707572756211,0.000553,"hLCL","Talkowski et al. 2014","","No"
"27","FAM111A","",-0.608387567251716,0.000566,"hLCL","Talkowski et al. 2014","","No"
"28","SMC4","",-0.550294640382346,0.00057,"hLCL","Talkowski et al. 2014","","No"
"29","FAM122B","",-0.292409901461494,0.000636,"hLCL","Talkowski et al. 2014","","No"
"30","FAM57B","",-1.65811049939153,0.00065,"hLCL","Talkowski et al. 2014","","Yes"
"31","ACAD9","",-0.437935744503741,0.000659,"hLCL","Talkowski et al. 2014","","No"
"32","PABPC1L","",-0.656118589806297,0.000662,"hLCL","Talkowski et al. 2014","","No"
"33","ILF3","",-0.238144359479303,0.000676,"hLCL","Talkowski et al. 2014","","No"
"34","MAPK3","",-0.749192398127688,0.00068,"hLCL","Talkowski et al. 2014","","Yes"
"35","BRCA1","",-0.698345577768416,0.00073,"hLCL","Talkowski et al. 2014","","No"
"36","ORC3","",-0.299957296907046,0.00078,"hLCL","Talkowski et al. 2014","","No"
"37","CENPF","",-0.556258547700352,0.000783,"hLCL","Talkowski et al. 2014","","No"
"38","LOC100129083","",-1.1256201766533,0.00091,"hLCL","Talkowski et al. 2014","","No"
"39","UBTD1","",0.789288393225077,0.00092,"hLCL","Talkowski et al. 2014","","No"
"40","NSUN6","",-0.453677700190864,0.00095,"hLCL","Talkowski et al. 2014","","No"
"41","KIF14","",-0.604329470066412,0.001008,"hLCL","Talkowski et al. 2014","","No"
"42","ALDOA","",-0.716534921540795,0.001023,"hLCL","Talkowski et al. 2014","","Yes"
