"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"1","CDIPT","CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:1769]",-1.078359705,3.32e-11,"cortical organoid","Urresti et al. 2021","ENSG00000103502","Yes"
"2","TAOK2","TAO kinase 2 [Source:HGNC Symbol;Acc:16835]",-1.085417007,1.74e-10,"cortical organoid","Urresti et al. 2021","ENSG00000149930","Yes"
"3","INO80E","INO80 complex subunit E [Source:HGNC Symbol;Acc:26905]",-1.095576733,4.62e-08,"cortical organoid","Urresti et al. 2021","ENSG00000169592","Yes"
"4","TMEM219","transmembrane protein 219 [Source:HGNC Symbol;Acc:25201]",-1.046729398,1.32e-08,"cortical organoid","Urresti et al. 2021","ENSG00000149932","Yes"
"5","YPEL3","yippee-like 3 (Drosophila) [Source:HGNC Symbol;Acc:18327]",-1.094099803,4.62e-08,"cortical organoid","Urresti et al. 2021","ENSG00000090238","Yes"
"6","MAZ","MYC-associated zinc finger protein (purine-binding transcription factor) [Source:HGNC Symbol;Acc:6914]",-1.074224854,4.62e-08,"cortical organoid","Urresti et al. 2021","ENSG00000103495","Yes"
"7","PPP4C","protein phosphatase 4, catalytic subunit [Source:HGNC Symbol;Acc:9319]",-0.977933168,1.41e-07,"cortical organoid","Urresti et al. 2021","ENSG00000149923","Yes"
"8","MAPK3","mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:6877]",-1.042354185,2.99e-07,"cortical organoid","Urresti et al. 2021","ENSG00000102882","Yes"
"9","ALDOA","aldolase A, fructose-bisphosphate [Source:HGNC Symbol;Acc:414]",-1.212221544,5.77e-07,"cortical organoid","Urresti et al. 2021","ENSG00000149925","Yes"
"10","SEZ6L2","seizure related 6 homolog (mouse)-like 2 [Source:HGNC Symbol;Acc:30844]",-0.964566465,1.85e-05,"cortical organoid","Urresti et al. 2021","ENSG00000174938","No"
"11","PAGR1","PAXIP1-associated glutamate-rich protein 1  [Source:RefSeq peptide;Acc:NP_078792]",-0.893093745,0.007997453,"cortical organoid","Urresti et al. 2021","ENSG00000263136","No"
"12","CORO1A","coronin, actin binding protein, 1A [Source:HGNC Symbol;Acc:2252]",-1.207907718,1.85e-05,"cortical organoid","Urresti et al. 2021","ENSG00000102879","Yes"
"13","HIRIP3","HIRA interacting protein 3 [Source:HGNC Symbol;Acc:4917]",-1.065094112,1.63e-05,"cortical organoid","Urresti et al. 2021","ENSG00000149929","Yes"
"14","PAGR1","PAXIP1 associated glutamate-rich protein 1 [Source:HGNC Symbol;Acc:28707]",-1.262609413,0.002740883,"cortical organoid","Urresti et al. 2021","ENSG00000185928","No"
"15","BOLA2B","bolA family member 2B [Source:HGNC Symbol;Acc:32479]",-0.838508593,0.004130812,"cortical organoid","Urresti et al. 2021","ENSG00000169627","No"
"16","DOC2A","double C2-like domains, alpha [Source:HGNC Symbol;Acc:2985]",-1.301954266,0.000941814,"cortical organoid","Urresti et al. 2021","ENSG00000149927","Yes"
"17","PRRT2","proline-rich transmembrane protein 2 [Source:HGNC Symbol;Acc:30500]",-1.111913662,7.92e-05,"cortical organoid","Urresti et al. 2021","ENSG00000167371","Yes"
"18","KIF22","kinesin family member 22 [Source:HGNC Symbol;Acc:6391]",-0.662081098,0.027686727,"cortical organoid","Urresti et al. 2021","ENSG00000079616","Yes"
"19","RP1-193H18.2","",-0.269942945,0.794802813,"cortical organoid","Urresti et al. 2021","ENSG00000267194","No"
"20","KCTD13","potassium channel tetramerization domain containing 13 [Source:HGNC Symbol;Acc:22234]",-0.767492299,0.001593028,"cortical organoid","Urresti et al. 2021","ENSG00000174943","Yes"
"21","POMZP3","POM121 and ZP3 fusion [Source:HGNC Symbol;Acc:9203]",0.684056853,0.273561783,"cortical organoid","Urresti et al. 2021","ENSG00000146707","No"
"22","RP11-98J23.2","",-0.188289977,0.876556979,"cortical organoid","Urresti et al. 2021","ENSG00000198237","No"
"23","SNHG7","small nucleolar RNA host gene 7 (non-protein coding) [Source:HGNC Symbol;Acc:28254]",0.573895663,0.436097733,"cortical organoid","Urresti et al. 2021","ENSG00000233016","No"
"24","DPY19L3","dpy-19-like 3 (C. elegans) [Source:HGNC Symbol;Acc:27120]",0.256851201,0.490087816,"cortical organoid","Urresti et al. 2021","ENSG00000178904","No"
"25","MVP","major vault protein [Source:HGNC Symbol;Acc:7531]",-1.025953472,0.032835819,"cortical organoid","Urresti et al. 2021","ENSG00000013364","Yes"
"26","LMO3","LIM domain only 3 (rhombotin-like 2) [Source:HGNC Symbol;Acc:6643]",0.514395755,0.747187196,"cortical organoid","Urresti et al. 2021","ENSG00000048540","No"
"27","QPRT","quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:9755]",-0.881276508,1.51e-05,"cortical organoid","Urresti et al. 2021","ENSG00000103485","Yes"
"28","C1QTNF5","C1q and tumor necrosis factor related protein 5 [Source:HGNC Symbol;Acc:14344]",0.513028395,0.392832563,"cortical organoid","Urresti et al. 2021","ENSG00000223953","No"
"29","FAM57B","family with sequence similarity 57, member B [Source:HGNC Symbol;Acc:25295]",-0.995910038,0.045599008,"cortical organoid","Urresti et al. 2021","ENSG00000149926","Yes"
"30","SMN1","survival of motor neuron 1, telomeric [Source:HGNC Symbol;Acc:11117]",0.115806117,0.868513916,"cortical organoid","Urresti et al. 2021","ENSG00000172062","No"
"31","GREB1L","growth regulation by estrogen in breast cancer-like [Source:HGNC Symbol;Acc:31042]",0.494462002,0.794802813,"cortical organoid","Urresti et al. 2021","ENSG00000141449","No"
"32","SMN2","survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:11118]",1.13709686,0.496565931,"cortical organoid","Urresti et al. 2021","ENSG00000205571","No"
