"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"1","CDIPT","CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:1769]",0.654087342,1.18e-05,"cortical organoid","Urresti et al. 2021","ENSG00000103502","Yes"
"2","TAOK2","TAO kinase 2 [Source:HGNC Symbol;Acc:16835]",0.532340291,0.00132554,"cortical organoid","Urresti et al. 2021","ENSG00000149930","Yes"
"3","INO80E","INO80 complex subunit E [Source:HGNC Symbol;Acc:26905]",0.643888189,0.00132554,"cortical organoid","Urresti et al. 2021","ENSG00000169592","Yes"
"4","TMEM219","transmembrane protein 219 [Source:HGNC Symbol;Acc:25201]",0.486984196,0.005956277,"cortical organoid","Urresti et al. 2021","ENSG00000149932","Yes"
"5","YPEL3","yippee-like 3 (Drosophila) [Source:HGNC Symbol;Acc:18327]",0.680776681,0.00132554,"cortical organoid","Urresti et al. 2021","ENSG00000090238","Yes"
"6","MAZ","MYC-associated zinc finger protein (purine-binding transcription factor) [Source:HGNC Symbol;Acc:6914]",0.67885222,0.001753407,"cortical organoid","Urresti et al. 2021","ENSG00000103495","Yes"
"7","PPP4C","protein phosphatase 4, catalytic subunit [Source:HGNC Symbol;Acc:9319]",0.558903212,0.004634642,"cortical organoid","Urresti et al. 2021","ENSG00000149923","Yes"
"8","MAPK3","mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:6877]",0.583826015,0.006955241,"cortical organoid","Urresti et al. 2021","ENSG00000102882","Yes"
"9","ALDOA","aldolase A, fructose-bisphosphate [Source:HGNC Symbol;Acc:414]",0.654805556,0.02095643,"cortical organoid","Urresti et al. 2021","ENSG00000149925","Yes"
"10","SEZ6L2","seizure related 6 homolog (mouse)-like 2 [Source:HGNC Symbol;Acc:30844]",0.555184593,0.045948064,"cortical organoid","Urresti et al. 2021","ENSG00000174938","No"
"11","PAGR1","PAXIP1-associated glutamate-rich protein 1  [Source:RefSeq peptide;Acc:NP_078792]",0.848162022,0.005059184,"cortical organoid","Urresti et al. 2021","ENSG00000263136","No"
"12","CORO1A","coronin, actin binding protein, 1A [Source:HGNC Symbol;Acc:2252]",0.647236931,0.087609621,"cortical organoid","Urresti et al. 2021","ENSG00000102879","Yes"
"13","HIRIP3","HIRA interacting protein 3 [Source:HGNC Symbol;Acc:4917]",0.334667344,0.257560739,"cortical organoid","Urresti et al. 2021","ENSG00000149929","Yes"
"14","PAGR1","PAXIP1 associated glutamate-rich protein 1 [Source:HGNC Symbol;Acc:28707]",0.989281031,0.017720999,"cortical organoid","Urresti et al. 2021","ENSG00000185928","No"
"15","BOLA2B","bolA family member 2B [Source:HGNC Symbol;Acc:32479]",0.677706172,0.016000412,"cortical organoid","Urresti et al. 2021","ENSG00000169627","No"
"16","DOC2A","double C2-like domains, alpha [Source:HGNC Symbol;Acc:2985]",0.987440032,0.045978326,"cortical organoid","Urresti et al. 2021","ENSG00000149927","Yes"
"17","PRRT2","proline-rich transmembrane protein 2 [Source:HGNC Symbol;Acc:30500]",0.52265636,0.163186576,"cortical organoid","Urresti et al. 2021","ENSG00000167371","Yes"
"18","KIF22","kinesin family member 22 [Source:HGNC Symbol;Acc:6391]",0.731048032,0.013656354,"cortical organoid","Urresti et al. 2021","ENSG00000079616","Yes"
"19","RP1-193H18.2","",1.176190623,0.000330853,"cortical organoid","Urresti et al. 2021","ENSG00000267194","No"
"20","KCTD13","potassium channel tetramerization domain containing 13 [Source:HGNC Symbol;Acc:22234]",0.55480472,0.063955741,"cortical organoid","Urresti et al. 2021","ENSG00000174943","Yes"
"21","POMZP3","POM121 and ZP3 fusion [Source:HGNC Symbol;Acc:9203]",-1.510563829,0.003790671,"cortical organoid","Urresti et al. 2021","ENSG00000146707","No"
"22","RP11-98J23.2","",-1.721290008,1.18e-05,"cortical organoid","Urresti et al. 2021","ENSG00000198237","No"
"23","SNHG7","small nucleolar RNA host gene 7 (non-protein coding) [Source:HGNC Symbol;Acc:28254]",-1.294330151,0.003542269,"cortical organoid","Urresti et al. 2021","ENSG00000233016","No"
"24","DPY19L3","dpy-19-like 3 (C. elegans) [Source:HGNC Symbol;Acc:27120]",-0.56840413,0.003947771,"cortical organoid","Urresti et al. 2021","ENSG00000178904","No"
"25","MVP","major vault protein [Source:HGNC Symbol;Acc:7531]",0.707452447,0.067972622,"cortical organoid","Urresti et al. 2021","ENSG00000013364","Yes"
