"gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"CDIPT","CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:1769]",-1.078359705,2.44e-15,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000103502","Yes"
"TAOK2","TAO kinase 2 [Source:HGNC Symbol;Acc:16835]",-1.085417007,2.56e-14,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000149930","Yes"
"INO80E","INO80 complex subunit E [Source:HGNC Symbol;Acc:26905]",-1.095576733,2.04e-11,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000169592","Yes"
"TMEM219","transmembrane protein 219 [Source:HGNC Symbol;Acc:25201]",-1.046729398,2.92e-12,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000149932","Yes"
"YPEL3","yippee-like 3 (Drosophila) [Source:HGNC Symbol;Acc:18327]",-1.094099803,1.84e-11,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000090238","Yes"
"MAZ","MYC-associated zinc finger protein (purine-binding transcription factor) [Source:HGNC Symbol;Acc:6914]",-1.074224854,1.99e-11,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000103495","Yes"
"PPP4C","protein phosphatase 4, catalytic subunit [Source:HGNC Symbol;Acc:9319]",-0.977933168,7.26e-11,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000149923","Yes"
"MAPK3","mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:6877]",-1.042354185,1.76e-10,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000102882","Yes"
"ALDOA","aldolase A, fructose-bisphosphate [Source:HGNC Symbol;Acc:414]",-1.212221544,3.82e-10,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000149925","Yes"
"SEZ6L2","seizure related 6 homolog (mouse)-like 2 [Source:HGNC Symbol;Acc:30844]",-0.964566465,1.73e-08,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000174938","Yes"
"PAGR1","PAXIP1-associated glutamate-rich protein 1  [Source:RefSeq peptide;Acc:NP_078792]",-0.893093745,1.35e-05,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000263136","No"
"CORO1A","coronin, actin binding protein, 1A [Source:HGNC Symbol;Acc:2252]",-1.207907718,1.77e-08,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000102879","Yes"
"HIRIP3","HIRA interacting protein 3 [Source:HGNC Symbol;Acc:4917]",-1.065094112,1.32e-08,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000149929","Yes"
"PAGR1","PAXIP1 associated glutamate-rich protein 1 [Source:HGNC Symbol;Acc:28707]",-1.262609413,4.03e-06,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000185928","No"
"BOLA2B","bolA family member 2B [Source:HGNC Symbol;Acc:32479]",-0.838508593,6.69e-06,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000169627","No"
"DOC2A","double C2-like domains, alpha [Source:HGNC Symbol;Acc:2985]",-1.301954266,1.11e-06,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000149927","Yes"
"PRRT2","proline-rich transmembrane protein 2 [Source:HGNC Symbol;Acc:30500]",-1.111913662,8.16e-08,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000167371","Yes"
"KIF22","kinesin family member 22 [Source:HGNC Symbol;Acc:6391]",-0.662081098,5.91e-05,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000079616","Yes"
"RP1-193H18.2","",-0.269942945,0.059973598,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000267194","No"
"KCTD13","potassium channel tetramerization domain containing 13 [Source:HGNC Symbol;Acc:22234]",-0.767492299,2.23e-06,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000174943","Yes"
"POMZP3","POM121 and ZP3 fusion [Source:HGNC Symbol;Acc:9203]",0.684056853,0.002016893,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000146707","No"
"RP11-98J23.2","",-0.188289977,0.159639708,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000198237","No"
"SNHG7","small nucleolar RNA host gene 7 (non-protein coding) [Source:HGNC Symbol;Acc:28254]",0.573895663,0.006238578,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000233016","No"
"DPY19L3","dpy-19-like 3 (C. elegans) [Source:HGNC Symbol;Acc:27120]",0.256851201,0.008002123,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000178904","No"
"MVP","major vault protein [Source:HGNC Symbol;Acc:7531]",-1.025953472,7.73e-05,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000013364","Yes"
"LMO3","LIM domain only 3 (rhombotin-like 2) [Source:HGNC Symbol;Acc:6643]",0.514395755,0.042513078,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000048540","No"
"QPRT","quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:9755]",-0.881276508,1.11e-08,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000103485","Yes"
"C1QTNF5","C1q and tumor necrosis factor related protein 5 [Source:HGNC Symbol;Acc:14344]",0.513028395,0.004105256,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000223953","No"
"FAM57B","family with sequence similarity 57, member B [Source:HGNC Symbol;Acc:25295]",-0.995910038,0.000134233,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000149926","Yes"
"SMN1","survival of motor neuron 1, telomeric [Source:HGNC Symbol;Acc:11117]",0.115806117,0.146376186,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000172062","No"
"GREB1L","growth regulation by estrogen in breast cancer-like [Source:HGNC Symbol;Acc:31042]",0.494462002,0.067307401,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000141449","No"
"SMN2","survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:11118]",1.13709686,0.008222236,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000205571","No"
"ST6GAL2","ST6 beta-galactosamide alpha-2,6-sialyltranferase 2 [Source:HGNC Symbol;Acc:10861]",0.384643665,0.012849735,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000144057","No"
"GRID2","glutamate receptor, ionotropic, delta 2 [Source:HGNC Symbol;Acc:4576]",0.078382187,0.659312679,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000152208","No"
"NMU","neuromedin U [Source:HGNC Symbol;Acc:7859]",0.124498547,0.414818869,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000109255","No"
"FAHD1","fumarylacetoacetate hydrolase domain containing 1 [Source:HGNC Symbol;Acc:14169]",-0.640072478,1.79e-05,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000180185","No"
"RP11-384P7.7","",0.27110054,0.053997942,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000260947","No"
"NOP56","NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:15911]",-0.161403188,0.014572319,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000101361","No"
"PLCH2","phospholipase C, eta 2 [Source:HGNC Symbol;Acc:29037]",-0.474008241,0.012719369,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000149527","No"
"RANBP17","RAN binding protein 17 [Source:HGNC Symbol;Acc:14428]",0.192237091,0.011896552,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000204764","No"
"RP4-813F11.4","",-0.13513837,0.373674506,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000273081","No"
"MAP2K6","mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:6846]",-0.193978706,0.227196362,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000108984","No"
"C2CD5","C2 calcium-dependent domain containing 5 [Source:HGNC Symbol;Acc:29062]",0.166173165,0.023006259,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000111731","No"
"BOLA2","bolA family member 2 [Source:HGNC Symbol;Acc:29488]",-1.27956656,0.000108936,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000183336","Yes"
"FAM21C","family with sequence similarity 21, member C [Source:HGNC Symbol;Acc:23414]",0.26834382,0.033068577,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000172661","No"
"NCALD","neurocalcin delta [Source:HGNC Symbol;Acc:7655]",0.263582937,0.086864936,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000104490","No"
"HIST1H2BB","histone cluster 1, H2bb [Source:HGNC Symbol;Acc:4751]",-2.353167169,0.00513649,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000196226","No"
"ASPHD1","aspartate beta-hydroxylase domain containing 1 [Source:HGNC Symbol;Acc:27380]",-1.090593051,1.51e-05,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000174939","Yes"
"IRX2","iroquois homeobox 2 [Source:HGNC Symbol;Acc:14359]",0.538462852,0.175051885,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000170561","No"
"MEIS1","Meis homeobox 1 [Source:HGNC Symbol;Acc:7000]",0.78574552,0.067184667,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000143995","No"
